,kyouriki 2 glu 8,kyouriki 3 glu 7,kyouriki 4 glu 6,kyouriki 5 glu 5,kyouriki 6 glu 4,kyouriki 7 glu 3,kyouriki 8 glu 2,kyouriki 9 glu 1
1025.2,0.1094593,0.1108892,9.74E-02,9.63E-02,8.83E-02,7.98E-02,7.71E-02,7.23E-02
1025.4,0.10935,0.1107808,9.71E-02,9.62E-02,8.82E-02,7.96E-02,7.69E-02,7.22E-02
1025.61,0.1093877,0.1107688,9.71E-02,9.62E-02,8.82E-02,7.96E-02,7.68E-02,7.22E-02
1025.81,0.1095069,0.110834,9.73E-02,9.63E-02,8.82E-02,7.98E-02,7.69E-02,7.22E-02
1026.01,0.109635,0.1109223,9.75E-02,9.64E-02,8.83E-02,7.99E-02,7.69E-02,7.23E-02
1026.22,0.1097512,0.1110061,9.75E-02,9.65E-02,8.84E-02,8.01E-02,7.70E-02,7.23E-02
1026.42,0.1098378,0.1111025,9.74E-02,9.65E-02,8.84E-02,8.01E-02,7.70E-02,7.23E-02
1026.62,0.1098652,0.1112199,9.74E-02,9.66E-02,8.84E-02,8.00E-02,7.70E-02,7.23E-02
1026.83,0.1098066,0.1113012,9.74E-02,9.66E-02,8.84E-02,8.00E-02,7.69E-02,7.22E-02
1027.03,0.1097813,0.1113075,9.74E-02,9.66E-02,8.83E-02,8.00E-02,7.69E-02,7.21E-02
1027.23,0.1099093,0.1113271,9.76E-02,9.66E-02,8.83E-02,8.00E-02,7.69E-02,7.21E-02
1027.44,0.1100527,0.1113649,9.78E-02,9.67E-02,8.84E-02,8.00E-02,7.70E-02,7.22E-02
1027.64,0.1100782,0.1113344,9.79E-02,9.68E-02,8.83E-02,8.00E-02,7.70E-02,7.21E-02
1027.84,0.1100853,0.1113137,9.78E-02,9.69E-02,8.82E-02,7.99E-02,7.70E-02,7.20E-02
1028.05,0.1101695,0.1113656,9.77E-02,9.68E-02,8.82E-02,7.99E-02,7.69E-02,7.21E-02
1028.25,0.1102221,0.1114038,9.77E-02,9.67E-02,8.83E-02,7.99E-02,7.68E-02,7.20E-02
1028.45,0.1101037,0.1113274,9.76E-02,9.65E-02,8.82E-02,7.98E-02,7.66E-02,7.19E-02
1028.66,0.1099001,0.1111422,9.74E-02,9.63E-02,8.82E-02,7.96E-02,7.65E-02,7.17E-02
1028.86,0.1098209,0.1110504,9.74E-02,9.63E-02,8.81E-02,7.95E-02,7.65E-02,7.16E-02
1029.07,0.109949,0.1111857,9.75E-02,9.65E-02,8.82E-02,7.96E-02,7.65E-02,7.16E-02
1029.27,0.1101569,0.1113631,9.76E-02,9.67E-02,8.82E-02,7.98E-02,7.66E-02,7.18E-02
1029.48,0.1102569,0.1113955,9.76E-02,9.67E-02,8.82E-02,7.97E-02,7.65E-02,7.19E-02
1029.68,0.1102471,0.1113543,9.76E-02,9.66E-02,8.81E-02,7.96E-02,7.65E-02,7.18E-02
1029.88,0.110252,0.1113747,9.77E-02,9.66E-02,8.82E-02,7.96E-02,7.65E-02,7.18E-02
1030.09,0.1102885,0.1114472,9.78E-02,9.67E-02,8.83E-02,7.96E-02,7.66E-02,7.18E-02
1030.29,0.1103388,0.111496,9.78E-02,9.68E-02,8.84E-02,7.97E-02,7.67E-02,7.18E-02
1030.5,0.1104692,0.1115293,9.79E-02,9.69E-02,8.85E-02,7.98E-02,7.67E-02,7.18E-02
1030.7,0.1106363,0.111572,9.80E-02,9.70E-02,8.84E-02,7.98E-02,7.68E-02,7.19E-02
1030.91,0.1106226,0.1115493,9.80E-02,9.68E-02,8.82E-02,7.98E-02,7.67E-02,7.18E-02
1031.11,0.1104421,0.111463,9.79E-02,9.65E-02,8.81E-02,7.97E-02,7.65E-02,7.16E-02
1031.32,0.1103841,0.1114886,9.78E-02,9.64E-02,8.80E-02,7.97E-02,7.65E-02,7.15E-02
1031.52,0.1105304,0.1117352,9.79E-02,9.65E-02,8.82E-02,7.98E-02,7.66E-02,7.16E-02
1031.73,0.1106384,0.1119721,9.80E-02,9.67E-02,8.84E-02,7.99E-02,7.66E-02,7.17E-02
1031.93,0.1105254,0.111873,9.80E-02,9.67E-02,8.84E-02,7.97E-02,7.65E-02,7.16E-02
1032.14,0.1103348,0.1115649,9.78E-02,9.67E-02,8.83E-02,7.95E-02,7.63E-02,7.15E-02
1032.34,0.1102813,0.1114152,9.78E-02,9.66E-02,8.83E-02,7.95E-02,7.63E-02,7.13E-02
1032.55,0.1103245,0.1114936,9.78E-02,9.66E-02,8.83E-02,7.95E-02,7.64E-02,7.13E-02
1032.76,0.1103919,0.1116791,9.78E-02,9.66E-02,8.83E-02,7.96E-02,7.63E-02,7.14E-02
1032.96,0.1105171,0.1118241,9.79E-02,9.66E-02,8.83E-02,7.96E-02,7.63E-02,7.14E-02
1033.17,0.1106444,0.1118211,9.79E-02,9.67E-02,8.83E-02,7.96E-02,7.63E-02,7.14E-02
1033.37,0.1106693,0.1117113,9.80E-02,9.66E-02,8.82E-02,7.96E-02,7.63E-02,7.12E-02
1033.58,0.1106216,0.111588,9.79E-02,9.65E-02,8.81E-02,7.95E-02,7.63E-02,7.11E-02
1033.79,0.1106411,0.1115234,9.79E-02,9.64E-02,8.80E-02,7.93E-02,7.63E-02,7.12E-02
1033.99,0.1106968,0.1115285,9.79E-02,9.64E-02,8.81E-02,7.93E-02,7.63E-02,7.12E-02
1034.2,0.11057,0.1114683,9.78E-02,9.65E-02,8.80E-02,7.92E-02,7.61E-02,7.11E-02
1034.4,0.1103061,0.1112931,9.76E-02,9.64E-02,8.79E-02,7.91E-02,7.59E-02,7.08E-02
1034.61,0.1101922,0.1111971,9.75E-02,9.62E-02,8.79E-02,7.90E-02,7.59E-02,7.08E-02
1034.82,0.1102774,0.1112673,9.76E-02,9.63E-02,8.79E-02,7.91E-02,7.59E-02,7.10E-02
1035.02,0.1103782,0.1113802,9.77E-02,9.64E-02,8.79E-02,7.91E-02,7.59E-02,7.10E-02
1035.23,0.1104302,0.1114728,9.77E-02,9.64E-02,8.78E-02,7.90E-02,7.59E-02,7.10E-02
1035.44,0.1104742,0.1115327,9.77E-02,9.65E-02,8.78E-02,7.90E-02,7.59E-02,7.10E-02
1035.64,0.1105154,0.1115866,9.77E-02,9.65E-02,8.79E-02,7.91E-02,7.60E-02,7.10E-02
1035.85,0.1105424,0.111645,9.77E-02,9.64E-02,8.80E-02,7.92E-02,7.60E-02,7.10E-02
1036.06,0.1104983,0.1116033,9.76E-02,9.62E-02,8.78E-02,7.91E-02,7.59E-02,7.09E-02
1036.26,0.1103782,0.1114416,9.76E-02,9.61E-02,8.77E-02,7.90E-02,7.57E-02,7.08E-02
1036.47,0.1103211,0.1112773,9.75E-02,9.61E-02,8.76E-02,7.90E-02,7.56E-02,7.06E-02
1036.68,0.1104,0.1112087,9.75E-02,9.62E-02,8.77E-02,7.90E-02,7.56E-02,7.06E-02
1036.89,0.1105225,0.1112704,9.75E-02,9.62E-02,8.78E-02,7.90E-02,7.57E-02,7.07E-02
1037.09,0.1105247,0.1113561,9.75E-02,9.62E-02,8.78E-02,7.91E-02,7.58E-02,7.08E-02
1037.3,0.1103519,0.1113125,9.75E-02,9.62E-02,8.77E-02,7.89E-02,7.57E-02,7.07E-02
1037.51,0.1101744,0.1111903,9.74E-02,9.60E-02,8.75E-02,7.87E-02,7.56E-02,7.04E-02
1037.72,0.1101614,0.1111228,9.73E-02,9.60E-02,8.74E-02,7.86E-02,7.54E-02,7.03E-02
1037.92,0.1103039,0.111142,9.73E-02,9.60E-02,8.75E-02,7.87E-02,7.54E-02,7.04E-02
1038.13,0.1104391,0.1112059,9.75E-02,9.60E-02,8.76E-02,7.89E-02,7.55E-02,7.05E-02
1038.34,0.110373,0.1111829,9.74E-02,9.58E-02,8.75E-02,7.88E-02,7.54E-02,7.04E-02
1038.55,0.1101774,0.1110605,9.72E-02,9.57E-02,8.72E-02,7.87E-02,7.53E-02,7.01E-02
1038.76,0.1100492,0.1109945,9.71E-02,9.56E-02,8.72E-02,7.85E-02,7.52E-02,7.01E-02
